image,id,label,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/1/2411f61b-0047.jpg,47,"[{""x"": 50.049673705844754, ""y"": 69.83964828032855, ""width"": 3.3115803896489493, ""height"": 2.0044757426083555, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 65.8624700664179, ""y"": 69.42010684582914, ""width"": 3.311580389648826, ""height"": 2.0044757426083826, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 50.29804223506844, ""y"": 79.1627912692048, ""width"": 3.4771594091313243, ""height"": 2.144322887441569, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}]",1,47,2022-05-15T01:39:40.442247Z,2022-05-15T01:39:40.442288Z,92.834
/data/upload/1/a2258eb8-0046.jpg,46,"[{""x"": 65.4645330510004, ""y"": 67.9771000533029, ""width"": 3.2157908742457524, ""height"": 1.9262692125776764, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 79.83296036146018, ""y"": 67.51479544228421, ""width"": 3.0789487093842207, ""height"": 1.8106930598230622, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 66.76453361718478, ""y"": 77.14614150517262, ""width"": 3.3526330391071575, ""height"": 2.0803707495839947, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}]",1,46,2022-05-14T15:28:01.675342Z,2022-05-14T15:28:01.675377Z,133.534
/data/upload/1/67015722-0045.jpg,45,"[{""x"": 48.97368376353858, ""y"": 38.4809101087852, ""width"": 4.44737035799945, ""height"": 2.696776897608814, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 59.57895154030627, ""y"": 39.02026548830687, ""width"": 4.378949275568606, ""height"": 2.6197261291055334, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 48.22105185680017, ""y"": 44.683496973285465, ""width"": 4.378949275568695, ""height"": 2.4270992078479248, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}]",1,45,2022-05-14T15:25:44.910304Z,2022-05-14T15:25:44.910405Z,128.193
/data/upload/1/75b17b61-0044.jpg,44,"[{""x"": 65.12235323091967, ""y"": 73.61143750009276, ""width"": 2.8736854620919443, ""height"": 1.695116907068397, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 79.21709621165635, ""y"": 73.57291211584116, ""width"": 2.942106544522705, ""height"": 1.6565915228168555, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 65.05393214848888, ""y"": 82.2796489566925, ""width"": 2.9421065445227215, ""height"": 1.7721676755715243, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}]",1,44,2022-05-14T15:23:33.916678Z,2022-05-14T15:23:33.916716Z,75.206
/data/upload/1/eba338e8-0043.jpg,43,"[{""x"": 68.53966758255022, ""y"": 16.810418306880038, ""width"": 1.8506077892617514, ""height"": 3.014911978951311, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 68.33404449485448, ""y"": 31.884978201636596, ""width"": 1.9020135611856845, ""height"": 3.0149119789513246, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 77.99832961655476, ""y"": 31.884978201636606, ""width"": 2.0562308769575033, ""height"": 3.4717168242469683, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}]",1,43,2022-05-14T15:22:16.278696Z,2022-05-14T15:22:16.278743Z,88.701
/data/upload/1/e0b1d7f9-0042.jpg,42,"[{""x"": 69.50324705639805, ""y"": 20.122222288592496, ""width"": 2.0562308769574917, ""height"": 3.654438762365245, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 69.29762396870228, ""y"": 38.02897222418211, ""width"": 2.1076366488814373, ""height"": 3.4717168242469967, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 79.8872129850334, ""y"": 37.75488931700471, ""width"": 2.159042420805387, ""height"": 3.745799731424356, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}]",1,42,2022-05-14T15:20:44.239158Z,2022-05-14T15:20:44.239219Z,62.472
/data/upload/1/5317fe36-0041.jpg,41,"[{""x"": 67.03684952525944, ""y"": 21.666862192475207, ""width"": 1.9842113904920702, ""height"": 3.526442044713382, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 66.90000736039792, ""y"": 38.69106516695363, ""width"": 1.915790308061302, ""height"": 3.648043494531091, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 77.09474864258127, ""y"": 38.56946371713592, ""width"": 2.1210535553535763, ""height"": 3.7696449443487934, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}]",1,41,2022-05-14T15:19:38.321706Z,2022-05-14T15:19:38.321766Z,51.09
/data/upload/1/b9899e00-0040.jpg,40,"[{""x"": 67.10148200229939, ""y"": 19.472106768864617, ""width"": 1.9791222190715683, ""height"": 3.3164031768464417, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 66.87529660583402, ""y"": 35.85312852116673, ""width"": 1.9791222190716016, ""height"": 3.416900242811468, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 76.82745405030823, ""y"": 35.55163732327161, ""width"": 1.9791222190715896, ""height"": 3.7183914407065837, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}]",1,40,2022-05-14T15:18:45.374696Z,2022-05-14T15:18:45.374757Z,74.684
/data/upload/1/71c85d8f-0039.jpg,39,"[{""x"": 38.12993993756351, ""y"": 39.368905418573874, ""width"": 1.7291032374415332, ""height"": 3.156106203860882, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 37.98974237777096, ""y"": 59.46831861158263, ""width"": 1.682370717510681, ""height"": 2.989995351026085, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 49.01861708145209, ""y"": 59.88359574366958, ""width"": 1.729103237441541, ""height"": 2.989995351026092, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 76.82341564984318, ""y"": 23.25838388799636, ""width"": 1.635638197579858, ""height"": 2.8238844981913047, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 76.91688068970485, ""y"": 36.71336296761378, ""width"": 1.6356381975798435, ""height"": 2.9069399246086873, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}, {""x"": 85.23526923739658, ""y"": 36.131974982692036, ""width"": 1.682370717510681, ""height"": 2.8238844981913083, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 3552, ""original_height"": 2000}]",1,39,2022-05-14T15:17:28.947859Z,2022-05-14T15:17:28.947935Z,164.955
/data/upload/1/bf0f670a-0038.jpg,38,"[{""x"": 65.86814302941482, ""y"": 63.539746295208836, ""width"": 3.462106770996492, ""height"": 1.9070065204518976, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 81.29709711755126, ""y"": 63.200722913795076, ""width"": 3.386843580322653, ""height"": 1.8222506750984744, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}, {""x"": 66.75248551983246, ""y"": 72.8277156082633, ""width"": 3.4621067709964475, ""height"": 2.034140288482077, ""rotation"": 0, ""rectanglelabels"": [""find pattern""], ""original_width"": 2000, ""original_height"": 3552}]",1,38,2022-05-14T15:14:42.125087Z,2022-05-14T15:14:42.125141Z,41.261
